INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,ZIP_CODE,CENSUS_TRACT,BIN,NTA,LOCATION,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
1563 new utrecht ave,BROOKLYN,01 BROOKLYN,Unspecified,,,01/30/2018,Open,Property Research Required,,,,,,,,,,,,,,,
1928 unerversity ave,BRONX,01 BRONX,Unspecified,,,12/26/2017,Open,Property Research Required,,,,,,,,,,,,,,,
4193 myrtle ave,BROOKLYN,01 BROOKLYN,Unspecified,,,12/06/2017,Open,Property Research Required,,,,,,,,,,,,,,,
23 3 AVENUE,MANHATTAN,03 MANHATTAN,Precinct 9,02,1004640001,11/16/2017,Open,Site downloaded for cleaning,,987097,205148,40.729727,-73.989749,10003,  38  ,1006735,East Village,"(40.729727, -73.989749)",11724,70,4,50,5
WEST 138 STREET AND 7TH AVEUNE,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,12/01/2017,Open,Property Research Required,,,,,,,,,,,,,,,
52 riungton,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,12/18/2017,Open,Property Research Required,,,,,,,,,,,,,,,
9766 southern blvd,BRONX,01 BRONX,Unspecified,,,01/03/2018,Open,Property Research Required,,,,,,,,,,,,,,,
7614 atlantic ave,BROOKLYN,01 BROOKLYN,Unspecified,,,11/21/2017,Open,Property Research Required,,,,,,,,,,,,,,,
32 32 ave,QUEENS,01 QUEENS,Unspecified,,,12/12/2017,Open,Property Research Required,,,,,,,,,,,,,,,
654 jamaica ave,QUEENS,01 QUEENS,Unspecified,,,12/18/2017,Open,Property Research Required,,,,,,,,,,,,,,,
173-16 HILLSIDE AVE,QUEENS,01 QUEENS,Unspecified,,,12/27/2017,Open,Property Research Required,,,,,,,,,,,,,,,
Hale ave,BROOKLYN,01 BROOKLYN,Unspecified,,,11/14/2017,Open,Property Research Required,,,,,,,,,,,,,,,
14 TARYL AVENUE,BRONX,01 BRONX,Unspecified,,,03/08/2018,Open,Property Research Required,,,,,,,,,,,,,,,
505 1/2 WAVERLY AVENUE,BROOKLYN,01 BROOKLYN,Unspecified,,,03/08/2018,Open,Property Research Required,,,,,,,,,,,,,,,
26-95 atlantic ave,QUEENS,01 QUEENS,Unspecified,,,12/07/2017,Open,Property Research Required,,,,,,,,,,,,,,,
101 101 ave,QUEENS,01 QUEENS,Unspecified,,,12/12/2017,Open,Property Research Required,,,,,,,,,,,,,,,
26 Rivington Street,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,01/29/2018,Open,Property Research Required,,,,,,,,,,,,,,,
119 D AVENUE,MANHATTAN,03 MANHATTAN,Precinct 9,02,1003780035,12/20/2017,Open,Site downloaded for cleaning,,990933,203015,,,,,,,,,,,,
S/E C/O Kings Highway and Whitty Lane,BROOKLYN,01 BROOKLYN,Unspecified,,,02/13/2018,Open,Property Research Required,,,,,,,,,,,,,,,
WEST 137 STREET AND 5 AVENUE,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,02/02/2018,Open,Property Research Required,,,,,,,,,,,,,,,
8920 98 st,BROOKLYN,01 BROOKLYN,Unspecified,,,11/21/2017,Open,Property Research Required,,,,,,,,,,,,,,,
1048 castle hill road,BRONX,01 BRONX,Unspecified,,,12/20/2017,Open,Property Research Required,,,,,,,,,,,,,,,
1017 castle hill road,BRONX,01 BRONX,Unspecified,,,12/20/2017,Open,Property Research Required,,,,,,,,,,,,,,,
Flushing ave and Vanderbilt ave,BROOKLYN,01 BROOKLYN,Unspecified,,,03/07/2018,Open,Property Research Required,,,,,,,,,,,,,,,
7 east burnside,BRONX,01 BRONX,Unspecified,,,12/26/2017,Open,Property Research Required,,,,,,,,,,,,,,,
167 ST/ GRANT AVENUE,BRONX,01 BRONX,Unspecified,,,02/13/2018,Open,Property Research Required,,,,,,,,,,,,,,,
2522 CLARENDON ROAD,BROOKLYN,17 BROOKLYN,Precinct 67,45,,01/30/2018,Open,Property Research Required,,997219,173526,40.642956,-73.953268,11226, 790  ,,Erasmus,"(40.642956, -73.953268)",13510,61,2,26,40
380 HOOPER ST,BRONX,01 BRONX,Unspecified,,,12/06/2017,Open,Property Research Required,,,,,,,,,,,,,,,
3128 U AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,46,3088190001,01/22/2018,Open,Site downloaded for cleaning,,1002536,158715,,,,,,,,,,,,
10-29 44 DRIVE,QUEENS,02 QUEENS,Precinct 108,26,4004480011,03/04/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,997846,212090,,,,,,,,,,,,
2307 U AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,48,3073280049,11/21/2017,Open,Site downloaded for cleaning,,998595,157777,,,,,,,,,,,,
PARK AVENUE,BRONX,01 BRONX,Unspecified,,,01/24/2018,Open,Property Research Required,,,,,,,,,,,,,,,
104 104 ave,QUEENS,01 QUEENS,Unspecified,,,11/17/2017,Open,Property Research Required,,,,,,,,,,,,,,,
33 33 road,QUEENS,01 QUEENS,Unspecified,,,12/12/2017,Open,Property Research Required,,,,,,,,,,,,,,,
WEST 131 STREET AND 8TH AVENUE,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,02/03/2018,Open,Property Research Required,,,,,,,,,,,,,,,
2154 wyona st,BROOKLYN,01 BROOKLYN,Unspecified,,,12/08/2017,Open,Property Research Required,,,,,,,,,,,,,,,
Corner of Avenue H and Ocean Avenue,BROOKLYN,01 BROOKLYN,Unspecified,,,02/20/2018,Open,Property Research Required,,,,,,,,,,,,,,,
East 87 and avenue b,BROOKLYN,01 BROOKLYN,Unspecified,,,01/15/2018,Open,Property Research Required,,,,,,,,,,,,,,,
2604 unerversity ave,BRONX,01 BRONX,Unspecified,,,12/26/2017,Open,Property Research Required,,,,,,,,,,,,,,,
30-21 atlantic ave,QUEENS,01 QUEENS,Unspecified,,,12/07/2017,Open,Property Research Required,,,,,,,,,,,,,,,
2455 shell road,BROOKLYN,01 BROOKLYN,Unspecified,,,12/11/2017,Open,Property Research Required,,,,,,,,,,,,,,,
1111grinney AVENIDA C D RAMIREZ,BRONX,01 BRONX,Unspecified,,,01/03/2018,Open,Property Research Required,,,,,,,,,,,,,,,
3896 st nicholas,QUEENS,01 QUEENS,Unspecified,,,12/07/2017,Open,Property Research Required,,,,,,,,,,,,,,,
1237 U AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,48,3073170044,11/21/2017,Closed,Cleaning crew dispatched.  Property cleaned.,02/26/2018,995648,157350,,,,,,,,,,,,
west 128 street and saint nicholas ave,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,11/24/2017,Open,Property Research Required,,,,,,,,,,,,,,,
212 pitt street,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,01/11/2018,Open,Property Research Required,,,,,,,,,,,,,,,
116 west dykman,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,12/26/2017,Open,Property Research Required,,,,,,,,,,,,,,,
1020 farragut rd,BROOKLYN,01 BROOKLYN,Unspecified,,,01/26/2018,Open,Property Research Required,,,,,,,,,,,,,,,
3612 CLARENDON ROAD,BROOKLYN,17 BROOKLYN,Precinct 67,45,3049530005,01/30/2018,Open,Site to be cleaned.,,1000132,173766,40.643610,-73.942771,11203, 832  ,3111592,East Flatbush-Farragut,"(40.64361, -73.942771)",16866,61,2,26,40
FDR DR NORTH BOUND EXIT 7 SERVICE ROAD,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,02/09/2018,Open,Property Research Required,,,,,,,,,,,,,,,
30-28 atlantic ave,QUEENS,01 QUEENS,Unspecified,,,12/07/2017,Open,Property Research Required,,,,,,,,,,,,,,,
1666 bath gate,BRONX,01 BRONX,Unspecified,,,01/31/2018,Open,Property Research Required,,,,,,,,,,,,,,,
30-65 atlantic ave,QUEENS,01 QUEENS,Unspecified,,,12/07/2017,Open,Property Research Required,,,,,,,,,,,,,,,
3 east burnside,BRONX,01 BRONX,Unspecified,,,12/26/2017,Open,Property Research Required,,,,,,,,,,,,,,,
mc Donald ave,BROOKLYN,01 BROOKLYN,Unspecified,,,11/15/2017,Open,Property Research Required,,,,,,,,,,,,,,,
6717 bayridge ave,BROOKLYN,01 BROOKLYN,Unspecified,,,12/19/2017,Open,Property Research Required,,,,,,,,,,,,,,,
4700 schenectady avenue,BROOKLYN,01 BROOKLYN,Unspecified,,,11/05/2017,Open,Property Research Required,,,,,,,,,,,,,,,
East 38 street and Linden blvd,BROOKLYN,01 BROOKLYN,Unspecified,,,01/09/2018,Open,Property Research Required,,,,,,,,,,,,,,,
northwest corner of east 87 street and avenue b,BROOKLYN,01 BROOKLYN,Unspecified,,,02/26/2018,Open,Property Research Required,,,,,,,,,,,,,,,
2357 castle hill ave,BRONX,01 BRONX,Unspecified,,,01/03/2018,Open,Property Research Required,,,,,,,,,,,,,,,
26-45 atlantic ave,QUEENS,01 QUEENS,Unspecified,,,12/07/2017,Open,Property Research Required,,,,,,,,,,,,,,,
27-72 atlantic ave,QUEENS,01 QUEENS,Unspecified,,,12/07/2017,Open,Property Research Required,,,,,,,,,,,,,,,
138-54 84 DRIVE,QUEENS,08 QUEENS,Precinct 107,24,4096490044,11/20/2017,Open,Site downloaded for cleaning,,1034663,197689,,,,,,,,,,,,
580 gerard avenue,BRONX,01 BRONX,Unspecified,,,12/19/2017,Open,Property Research Required,,,,40.819816,-73.928908,10451,  63  ,,West Concourse,"(40.819816, -73.928908)",10929,50,5,35,27
1910 w 17 st,BROOKLYN,01 BROOKLYN,Unspecified,,,12/11/2017,Open,Property Research Required,,,,,,,,,,,,,,,
west 130 street and 5th avenue,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,11/25/2017,Open,Property Research Required,,,,,,,,,,,,,,,
358 askford st,BROOKLYN,01 BROOKLYN,Unspecified,,,12/08/2017,Open,Property Research Required,,,,,,,,,,,,,,,
772 AMSTERDAM AVENUE,MANHATTAN,07 MANHATTAN,Precinct 24,07,1018690035,01/03/2018,Closed,Graffiti is intentional.,,992683,228992,40.795202,-73.969543,10025, 183  ,1056381,Upper West Side,"(40.795202, -73.969543)",12422,20,4,23,15
2 CHRISTOPHER STREET,MANHATTAN,02 MANHATTAN,Precinct 6,03,1005930013,02/13/2018,Open,Site downloaded for cleaning,,984317,206710,40.734048,-73.999758,10014,  71  ,1010268,West Village,"(40.734048, -73.999758)",12074,57,4,10,3
257-02 HILLSIDE AVENUE,QUEENS,13 QUEENS,Precinct 105,23,4087870001,12/28/2017,Open,Site downloaded for cleaning,,1064374,207836,40.736776,-73.710877,11004,157903,4179768,Glen Oaks-Floral Park-New Hyde Park,"(40.736776, -73.710877)",15785,63,3,16,63
897 BROADWAY,BROOKLYN,04 BROOKLYN,Precinct 83,34,3031360002,01/31/2018,Open,Site to be cleaned.,,1001748,193554,40.697921,-73.936896,11206, 389  ,3000000,Bushwick South,"(40.697921, -73.936896)",17213,42,2,30,53
107-45 GUY R BREWER BOULEVARD,QUEENS,12 QUEENS,Precinct 103,27,4101660008,12/07/2017,Open,Site downloaded for cleaning,,1041966,193433,40.697418,-73.791858,11433, 254  ,4216426,South Jamaica,"(40.697418, -73.791858)",24668,41,3,6,61
2079 CONEY ISLAND AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,48,3067940072,01/21/2018,Open,Site downloaded for cleaning,,994855,160228,40.606459,-73.961807,11223, 554  ,3182847,Homecrest,"(40.606459, -73.961807)",13512,32,2,15,36
145 COURT STREET,BROOKLYN,02 BROOKLYN,Precinct 84,33,3002780015,01/17/2018,Open,Site downloaded for cleaning,,986326,190429,40.689360,-73.992514,11201,  43  ,3326050,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,"(40.68936, -73.992514)",16865,68,2,38,54
121-15 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,29,4092750162,11/07/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/22/2017,1031759,194515,40.700448,-73.828660,11418, 144  ,4532055,Richmond Hill,"(40.700448, -73.82866)",24014,46,3,28,60
90-31 37 AVENUE,QUEENS,03 QUEENS,Precinct 115,25,4014640039,03/14/2018,Open,Site to be cleaned.,,1018457,212755,40.750574,-73.876540,11372, 275  ,4035996,Jackson Heights,"(40.750574, -73.87654)",14783,65,3,5,73
37-06 31 AVENUE,QUEENS,01 QUEENS,Precinct 114,22,4006570139,12/12/2017,Open,Site downloaded for cleaning,,1006817,216902,40.761994,-73.918537,11103,  61  ,4010494,Astoria,"(40.761994, -73.918537)",16860,39,3,4,72
1148 CONEY ISLAND AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3064980052,12/12/2017,Open,Site downloaded for cleaning,,993633,168793,40.629970,-73.966196,11230, 460  ,3170245,Flatbush,"(40.62997, -73.966196)",13513,60,2,11,43
1616 PARKER STREET,BRONX,10 BRONX,Precinct 45,18,,12/18/2017,Open,Property Research Required,,1025438,244948,40.838905,-73.851147,10462, 204  ,,Westchester-Unionport,"(40.838905, -73.851147)",11271,43,5,31,28
416 GRAHAM AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,34,3027450009,02/15/2018,Open,Site downloaded for cleaning,,999546,200596,40.717253,-73.944821,11211, 497  ,3068322,East Williamsburg,"(40.717253, -73.944821)",17613,36,2,30,57
AMSTERDAM AVENUE AND EWST 179 STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,02/14/2018,Open,Property Research Required,,,,,,,,,,,,,,,
635 EAST   28 STREET,BROOKLYN,14 BROOKLYN,Precinct 70,45,3052510017,11/16/2017,Open,Site downloaded for cleaning,,998168,170857,40.635629,-73.949854,11210, 786  ,3121678,Flatbush,"(40.635629, -73.949854)",17217,60,2,26,43
1235 OGDEN AVENUE,BRONX,04 BRONX,Precinct 44,16,,12/26/2017,Open,Property Research Required,,1004696,244838,40.838676,-73.926109,10452, 201  ,,Highbridge,"(40.838676, -73.926109)",10930,50,5,42,27
105 WEST   27 STREET,MANHATTAN,05 MANHATTAN,Precinct 13,03,1008030032,12/15/2017,Open,Site downloaded for cleaning,,986574,210957,40.745705,-73.991613,10001,  95  ,1015072,Midtown-Midtown South,"(40.745705, -73.991613)",11722,11,4,10,7
102-10 REMINGTON STREET,QUEENS,12 QUEENS,Precinct 103,28,4100160015,12/07/2017,Open,Site downloaded for cleaning,,1036834,191917,40.693289,-73.810377,11435, 206  ,4214328,Jamaica,"(40.693289, -73.810377)",24670,41,3,46,61
1267 CONEY ISLAND AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,44,3067040081,12/12/2017,Open,Site downloaded for cleaning,,993829,167534,40.626514,-73.965492,11230, 530  ,3179494,Midwood,"(40.626514, -73.965492)",13513,60,2,18,43
653 BRUCKNER BOULEVARD,BRONX,02 BRONX,Precinct 41,08,2026030115,11/17/2017,Open,Site downloaded for cleaning,,1012051,235201,40.812205,-73.899568,10455,  83  ,2004139,Longwood,"(40.812205, -73.899568)",10933,8,5,43,24
33 WEST  138 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,09,1017360025,02/02/2018,Open,Site downloaded for cleaning,,1001429,236356,40.815402,-73.937937,10037, 212  ,1053932,Central Harlem North-Polo Grounds,"(40.815402, -73.937937)",13095,18,4,36,20
321 GRAND STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1003080015,12/23/2017,Open,Site downloaded for cleaning,,986806,200577,40.717214,-73.990780,10002,  16  ,1003987,Chinatown,"(40.717214, -73.99078)",11723,70,4,32,4
110 WYCKOFF AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37,3032480037,02/05/2018,Open,Site downloaded for cleaning,,1006794,195760,40.703964,-73.918691,11237, 445  ,3073920,Bushwick North,"(40.703964, -73.918691)",13828,42,2,37,53
599 LINCOLN PLACE,BROOKLYN,08 BROOKLYN,Precinct 77,35,3012520030,02/04/2018,Open,Site downloaded for cleaning,,996273,183865,40.671336,-73.956658,11216, 219  ,3032137,Crown Heights North,"(40.671336, -73.956658)",17618,16,2,48,49
WEST 129 STREET AND 7 AVENUE,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,02/02/2018,Open,Property Research Required,,,,,,,,,,,,,,,
1151 LIBERTY AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3041820062,01/24/2018,Open,Site to be cleaned.,,1021185,186590,40.678746,-73.866838,11208,1188  ,3094044,Cypress Hills-City Line,"(40.678746, -73.866838)",17215,45,2,37,47
432 EVERGREEN AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,34,3033130016,11/15/2017,Closed,Cleaning crew dispatched.  Property cleaned.,02/12/2018,1006058,191718,40.692872,-73.921359,11221, 395  ,3075867,Bushwick South,"(40.692872, -73.921359)",18181,42,2,30,53
4301 GLENWOOD ROAD,BROOKLYN,17 BROOKLYN,Precinct 67,45,3050180003,01/26/2018,Open,Site downloaded for cleaning,,1002231,170552,40.634784,-73.935216,11210, 836  ,3114512,East Flatbush-Farragut,"(40.634784, -73.935216)",17217,61,2,26,40
2450 OCEAN AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,48,3072980045,12/05/2017,Open,Site downloaded for cleaning,,997595,158655,40.602138,-73.951942,11229, 560  ,3345784,Madison,"(40.602138, -73.951942)",13512,32,2,15,36
31 AVENUE U,BROOKLYN,11 BROOKLYN,Precinct 62,47,3070930042,12/07/2017,Open,Site downloaded for cleaning,,988863,156367,40.595867,-73.983389,11223, 402  ,3190776,Bensonhurst East,"(40.595867, -73.983389)",18183,1,2,45,37
3738 3 AVENUE,BRONX,03 BRONX,Precinct 42,16,2029270001,01/31/2018,Open,Site downloaded for cleaning,,1011146,243889,40.836054,-73.902802,10456, 169  ,2090452,Claremont-Bathgate,"(40.836054, -73.902802)",10934,34,5,42,25
18 WEST   37 STREET,MANHATTAN,05 MANHATTAN,Precinct 14,04,1008380061,11/16/2017,Open,Site downloaded for cleaning,,988672,212776,40.750697,-73.984040,10018,  84  ,1015944,Midtown-Midtown South,"(40.750697, -73.98404)",12080,11,4,51,8
6212 5 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3058000039,01/16/2018,Open,Site downloaded for cleaning,,979394,171796,40.638216,-74.017497,11220, 122  ,3143967,Sunset Park West,"(40.638216, -74.017497)",18180,9,2,7,45
99 MACOMBS PLACE,MANHATTAN,10 MANHATTAN,Precinct 32,09,1020390045,01/31/2018,Open,Site downloaded for cleaning,,1001989,240792,40.827576,-73.935902,10039, 236  ,1060622,Central Harlem North-Polo Grounds,"(40.827576, -73.935902)",13097,18,4,36,20
22-23 STEINWAY STREET,QUEENS,01 QUEENS,Precinct 114,22,,02/01/2018,Open,Property Research Required,,1010088,220662,40.772305,-73.906715,11105, 119  ,,Steinway,"(40.772305, -73.906715)",16862,39,3,4,72
310 WALTON AVENUE,BRONX,01 BRONX,Precinct 40,08,2023440017,01/23/2018,Open,Site downloaded for cleaning,,1003654,236142,40.814810,-73.929900,10451,  63  ,2001021,West Concourse,"(40.81481, -73.9299)",10929,49,5,35,23
127 ALBANY AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,36,3013400001,01/25/2018,Open,Site downloaded for cleaning,,1001241,185709,40.676389,-73.938744,11213, 311  ,3035626,Crown Heights North,"(40.676389, -73.938744)",17615,16,2,49,49
7303 20 AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,47,3062070009,12/19/2017,Open,Site downloaded for cleaning,,986847,162211,40.611908,-73.990646,11204, 268  ,3159200,Bensonhurst West,"(40.611908, -73.990646)",16867,1,2,45,37
1461 AMSTERDAM AVENUE,MANHATTAN,09 MANHATTAN,Precinct 26,09,1019700069,12/07/2017,Open,Site downloaded for cleaning,,997098,236949,40.817037,-73.953583,10027, 21303,1059639,Manhattanville,"(40.817037, -73.953583)",12424,37,4,36,17
433 METROPOLITAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33,3023390023,12/26/2017,Open,Site downloaded for cleaning,,996982,199438,40.714079,-73.954073,11211, 519  ,3062283,North Side-South Side,"(40.714079, -73.954073)",17613,36,2,38,57
5909 8 AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,38,3057070007,11/30/2017,Open,Site downloaded for cleaning,,981733,170970,40.635950,-74.009069,11220, 104  ,3140842,Sunset Park East,"(40.63595, -74.009069)",18180,2,2,7,39
34-09 BROADWAY,QUEENS,01 QUEENS,Precinct 114,22,4006240005,11/16/2017,Open,Site downloaded for cleaning,,1005629,216458,40.760778,-73.922827,11106,  61  ,4008936,Astoria,"(40.760778, -73.922827)",16863,39,3,4,72
310 5 AVENUE,MANHATTAN,05 MANHATTAN,Precinct 14,04,1008330043,11/16/2017,Open,Site downloaded for cleaning,,988208,211382,40.746871,-73.985716,10001,  76  ,1015819,Midtown-Midtown South,"(40.746871, -73.985716)",11722,11,4,51,8
1770 BAY RIDGE AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,43,,12/19/2017,Open,Property Research Required,,986102,164180,40.617313,-73.993329,11204, 260  ,,Bensonhurst West,"(40.617313, -73.993329)",16867,1,2,44,37
150 west burnside,BRONX,01 BRONX,Unspecified,,,12/26/2017,Open,Property Research Required,,,,40.853970,-73.914792,10453, 24501,2009117,University Heights-Morris Heights,"(40.85397, -73.914792)",10931,6,5,29,29
256 WEST   39 STREET,MANHATTAN,05 MANHATTAN,Precinct 14,03,1007880073,03/07/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,987048,214264,40.754782,-73.989901,10018, 113  ,1014489,Midtown-Midtown South,"(40.754782, -73.989901)",12080,11,4,10,8
961 EAST  174 STREET,BRONX,03 BRONX,Precinct 42,17,2029980002,12/31/2017,Open,Site downloaded for cleaning,,1015842,244143,40.836735,-73.885831,10460, 161  ,2114085,Crotona Park East,"(40.836735, -73.885831)",11269,34,5,43,25
660 KNICKERBOCKER AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37,3033770035,01/27/2018,Open,Site downloaded for cleaning,,1008721,192512,40.695044,-73.911753,11221, 435  ,3077296,Bushwick North,"(40.695044, -73.911753)",18181,42,2,37,53
833 LONGFELLOW AVENUE,BRONX,02 BRONX,Precinct 41,17,2027620166,11/14/2017,Open,Site downloaded for cleaning,,1015940,237338,40.818057,-73.885509,10474, 11502,2006476,Hunts Point,"(40.818057, -73.885509)",12343,8,5,43,24
69-09 QUEENS BOULEVARD,QUEENS,02 QUEENS,Precinct 108,26,4013510091,12/12/2017,Open,Site downloaded for cleaning,,1013231,208970,40.740204,-73.895418,11377, 483  ,4031979,Elmhurst-Maspeth,"(40.740204, -73.895418)",14787,53,3,33,66
418 FAILE STREET,BRONX,02 BRONX,Precinct 41,17,2027720102,01/03/2018,Open,Site downloaded for cleaning,,1016065,234099,40.809167,-73.885073,10474,  93  ,2094493,Hunts Point,"(40.809167, -73.885073)",12343,8,5,43,24
1076 EAST  165 STREET,BRONX,02 BRONX,Precinct 41,17,2027430030,11/17/2017,Open,Site downloaded for cleaning,,1014472,239886,40.825056,-73.890801,10459, 119  ,2006023,Hunts Point,"(40.825056, -73.890801)",10937,8,5,43,24
1397 MYRTLE AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37,3032780005,12/06/2017,Open,Site downloaded for cleaning,,1006234,193794,40.698570,-73.920717,11237, 431  ,3000000,Bushwick North,"(40.69857, -73.920717)",13828,42,2,37,53
4825 5 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007750001,11/09/2017,Closed,Cleaning crew dispatched.  Property cleaned.,12/07/2017,981660,174647,40.646042,-74.009333,11220,  98  ,3012632,Sunset Park East,"(40.646042, -74.009333)",18180,9,2,7,45
155 EAST BROADWAY,MANHATTAN,03 MANHATTAN,Precinct 7,01,1002830024,01/09/2018,Open,Site downloaded for cleaning,,986849,199409,40.714008,-73.990625,10002,   6  ,1086071,Lower East Side,"(40.714008, -73.990625)",11723,70,4,32,4
6518 13 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,38,3057530046,12/04/2017,Open,Site downloaded for cleaning,,983777,167280,40.625822,-74.001704,11219, 194  ,3328859,Dyker Heights,"(40.625822, -74.001704)",17621,10,2,7,41
251 EAST   39 STREET,MANHATTAN,06 MANHATTAN,Precinct 17,04,1009200028,03/08/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,991345,211892,40.748269,-73.974394,10016,  88  ,1020378,Turtle Bay-East Midtown,"(40.748269, -73.974394)",12078,71,4,51,9
852 FLATBUSH AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3050820033,11/10/2017,Closed,Cleaning crew dispatched.  Property cleaned.,02/28/2018,995620,176668,40.651583,-73.959024,11226, 50801,3116578,Flatbush,"(40.651583, -73.959024)",13510,60,2,11,43
114-05 170 STREET,QUEENS,12 QUEENS,Precinct 113,27,4123340273,02/09/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1045326,191122,40.691052,-73.779762,11434, 266  ,4267203,South Jamaica,"(40.691052, -73.779762)",24669,41,3,6,71
125-11 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,29,4092790088,11/09/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/28/2017,1032643,194724,40.701017,-73.825470,11418, 14201,4193891,Richmond Hill,"(40.701017, -73.82547)",24014,46,3,28,60
